Sequence,survey.status,dev.status,ecosystem,upgr.backport,Count: 31
44,finished,developer,Node.js/NPM,Somewhat disagree,
45,finished,developer,Rust/Cargo,Neither agree nor disagree,
46,finished,developer,Rust/Cargo,Strongly disagree,
47,finished,developer,Rust/Cargo,Strongly disagree,
48,finished,user,Rust/Cargo,NA,
49,finished,developer,Rust/Cargo,Strongly disagree,
50,finished,developer,Rust/Cargo,Strongly disagree,
51,finished,developer,Rust/Cargo,Strongly disagree,
52,finished,user,Node.js/NPM,NA,
53,finished,developer,Rust/Cargo,Strongly disagree,
54,finished,user,Rust/Cargo,NA,
55,finished,user,Rust/Cargo,NA,
56,finished,user,Python/PyPi,NA,
57,finished,developer,Rust/Cargo,Strongly disagree,
58,finished,developer,other,Somewhat disagree,
59,finished,developer,Rust/Cargo,Neither agree nor disagree,
60,finished,user,Rust/Cargo,NA,
61,finished,developer,Rust/Cargo,Strongly disagree,
62,finished,developer,Rust/Cargo,Somewhat disagree,
63,finished,developer,Rust/Cargo,Somewhat disagree,
64,finished,user,Node.js/NPM,NA,
65,finished,developer,Rust/Cargo,Neither agree nor disagree,
66,finished,developer,Rust/Cargo,Somewhat disagree,
67,finished,user,Rust/Cargo,NA,
68,finished,developer,Rust/Cargo,Strongly disagree,
69,finished,developer,Haskell (Cabal/Hackage),Somewhat agree,
70,finished,developer,Rust/Cargo,Strongly disagree,
71,finished,user,Rust/Cargo,NA,
72,finished,user,Rust/Cargo,NA,
73,finished,user,Rust/Cargo,NA,
74,finished,user,Rust/Cargo,NA,
75,finished,user,Perl/CPAN,NA,
76,finished,developer,Perl/CPAN,Somewhat disagree,
77,finished,user,Perl/CPAN,NA,
78,finished,user,Perl/CPAN,NA,
79,finished,developer,Perl/CPAN,Somewhat disagree,
80,finished,developer,Perl/CPAN,Neither agree nor disagree,
81,finished,developer,Perl/CPAN,Somewhat disagree,
82,finished,developer,Perl/CPAN,Strongly disagree,
83,finished,developer,Perl/CPAN,Somewhat disagree,
84,finished,developer,Perl/CPAN,Strongly disagree,
85,finished,developer,Atom (plugins),Strongly disagree,
86,finished,developer,Perl/CPAN,Neither agree nor disagree,
87,finished,developer,Perl/CPAN,Somewhat agree,
88,finished,developer,Perl/CPAN,Somewhat disagree,
89,finished,developer,Perl/CPAN,Neither agree nor disagree,
90,finished,developer,Perl/CPAN,Somewhat agree,
91,finished,user,Rust/Cargo,NA,
92,finished,user,NuGet,NA,
93,finished,developer,NuGet,Somewhat disagree,
94,finished,developer,Perl/CPAN,Strongly disagree,
95,finished,developer,NuGet,Strongly disagree,
96,finished,developer,Perl/CPAN,Neither agree nor disagree,
97,finished,user,Rust/Cargo,NA,
98,finished,developer,Perl/CPAN,Somewhat disagree,
99,finished,user,Eclipse (plugins),NA,
100,finished,user,Perl/CPAN,NA,
101,finished,user,Rust/Cargo,NA,
102,finished,developer,Perl/CPAN,Strongly disagree,
103,finished,developer,Perl/CPAN,Strongly disagree,
104,finished,user,Go,NA,
105,finished,developer,Perl/CPAN,Somewhat agree,
106,finished,developer,Perl/CPAN,Strongly disagree,
107,finished,user,Go,NA,
108,finished,developer,other,Somewhat disagree,
109,finished,developer,Go,Somewhat disagree,
110,finished,developer,Perl/CPAN,Strongly disagree,
111,finished,developer,R/CRAN,Strongly disagree,
112,finished,developer,R/CRAN,Strongly disagree,
113,finished,user,Perl/CPAN,NA,
114,abandoned,developer,other,NA,
115,finished,user,Perl/CPAN,NA,
116,finished,developer,Go,Strongly disagree,
117,finished,developer,Go,Strongly disagree,
118,finished,developer,Haskell (Cabal/Hackage),Strongly disagree,
119,finished,user,Go,NA,
120,finished,developer,R/CRAN,Strongly disagree,
121,finished,developer,R/CRAN,Strongly disagree,
122,abandoned,user,Rust/Cargo,NA,
123,abandoned,developer,Node.js/NPM,NA,
124,abandoned,developer,Node.js/NPM,NA,
125,finished,developer,R/CRAN,Neither agree nor disagree,
126,finished,user,Python/PyPi,NA,
127,abandoned,user,Node.js/NPM,NA,
128,abandoned,developer,Node.js/NPM,NA,
129,abandoned,user,Haskell (Cabal/Hackage),NA,
130,abandoned,user,Ruby/Rubygems,NA,
131,abandoned,developer,Node.js/NPM,NA,
132,abandoned,developer,Node.js/NPM,NA,
133,abandoned,developer,Node.js/NPM,NA,
134,abandoned,developer,Ruby/Rubygems,NA,
135,abandoned,developer,other,NA,
136,abandoned,developer,Node.js/NPM,NA,
137,abandoned,developer,Node.js/NPM,NA,
138,abandoned,developer,other,NA,
139,abandoned,developer,other,NA,
140,abandoned,user,Node.js/NPM,NA,
141,abandoned,developer,Node.js/NPM,NA,
142,abandoned,developer,Ruby/Rubygems,NA,
143,abandoned,developer,other,NA,
144,finished,developer,Perl/CPAN,Neither agree nor disagree,
145,abandoned,developer,Node.js/NPM,NA,
146,abandoned,developer,Node.js/NPM,NA,
147,abandoned,developer,NuGet,NA,
148,abandoned,developer,other,NA,
149,abandoned,developer,Lua/Luarocks,NA,
150,abandoned,developer,Node.js/NPM,NA,
151,abandoned,developer,Atom (plugins),NA,
152,abandoned,developer,Node.js/NPM,NA,
153,abandoned,developer,other,NA,
154,abandoned,developer,other,NA,
155,abandoned,developer,Node.js/NPM,NA,
156,abandoned,developer,other,NA,
157,abandoned,developer,Node.js/NPM,NA,
158,abandoned,developer,Node.js/NPM,NA,
159,abandoned,developer,Node.js/NPM,NA,
160,abandoned,developer,Ruby/Rubygems,NA,
161,abandoned,developer,Node.js/NPM,NA,
162,abandoned,developer,Node.js/NPM,NA,
163,abandoned,developer,Node.js/NPM,NA,
164,abandoned,developer,Ruby/Rubygems,NA,
165,abandoned,developer,other,NA,
166,abandoned,user,Node.js/NPM,NA,
167,abandoned,developer,"Erlang,Elixir/Hex",NA,
168,abandoned,user,Node.js/NPM,NA,
169,abandoned,developer,Node.js/NPM,NA,
170,abandoned,developer,other,NA,
171,abandoned,developer,Node.js/NPM,NA,
172,abandoned,user,Ruby/Rubygems,NA,
173,abandoned,user,Ruby/Rubygems,NA,
174,abandoned,developer,Node.js/NPM,Neither agree nor disagree,
175,abandoned,developer,Node.js/NPM,NA,
176,abandoned,user,Node.js/NPM,NA,
177,abandoned,developer,Node.js/NPM,Strongly disagree,
178,abandoned,developer,Node.js/NPM,NA,
179,abandoned,developer,other,NA,
180,abandoned,developer,Node.js/NPM,NA,
181,abandoned,developer,Node.js/NPM,NA,
182,abandoned,developer,Node.js/NPM,NA,
183,abandoned,user,Node.js/NPM,NA,
184,abandoned,user,Node.js/NPM,NA,
185,abandoned,developer,Node.js/NPM,NA,
186,abandoned,user,Node.js/NPM,NA,
187,abandoned,developer,other,NA,
188,abandoned,developer,Python/PyPi,NA,
189,abandoned,developer,Rust/Cargo,Strongly disagree,
190,abandoned,user,Ruby/Rubygems,NA,
191,abandoned,developer,Node.js/NPM,NA,
192,abandoned,developer,Node.js/NPM,NA,
193,abandoned,user,Node.js/NPM,NA,
194,finished,developer,R/CRAN,Strongly disagree,
195,abandoned,user,Node.js/NPM,NA,
196,abandoned,developer,Node.js/NPM,NA,
197,abandoned,developer,PHP/Packagist,NA,
198,abandoned,developer,Node.js/NPM,NA,
199,abandoned,developer,Node.js/NPM,NA,
200,abandoned,developer,other,NA,
201,abandoned,developer,other,NA,
202,abandoned,developer,other,NA,
203,abandoned,developer,Node.js/NPM,NA,
204,abandoned,developer,Node.js/NPM,NA,
205,abandoned,user,Atom (plugins),NA,
206,abandoned,user,Node.js/NPM,NA,
207,abandoned,developer,other,NA,
208,abandoned,user,Node.js/NPM,NA,
209,abandoned,developer,Node.js/NPM,NA,
210,abandoned,user,Python/PyPi,NA,
211,abandoned,developer,Node.js/NPM,NA,
212,abandoned,developer,Node.js/NPM,NA,
213,abandoned,developer,Node.js/NPM,NA,
214,abandoned,developer,Node.js/NPM,NA,
215,abandoned,developer,Node.js/NPM,NA,
216,finished,developer,Perl/CPAN,Strongly disagree,
217,abandoned,developer,Node.js/NPM,NA,
218,abandoned,developer,Node.js/NPM,NA,
219,finished,developer,Perl/CPAN,Somewhat agree,
220,abandoned,developer,Node.js/NPM,NA,
221,abandoned,developer,Node.js/NPM,NA,
222,abandoned,developer,"Erlang,Elixir/Hex",NA,
223,abandoned,user,Node.js/NPM,NA,
224,abandoned,developer,Node.js/NPM,NA,
225,abandoned,developer,Node.js/NPM,NA,
226,abandoned,developer,Node.js/NPM,Somewhat disagree,
227,abandoned,user,Node.js/NPM,NA,
228,abandoned,developer,other,NA,
229,abandoned,user,Node.js/NPM,NA,
230,abandoned,developer,other,NA,
231,abandoned,developer,Node.js/NPM,NA,
232,abandoned,developer,Node.js/NPM,NA,
233,abandoned,developer,Node.js/NPM,NA,
234,abandoned,user,Node.js/NPM,NA,
235,finished,developer,Perl/CPAN,Strongly disagree,
236,abandoned,user,Node.js/NPM,NA,
237,abandoned,developer,other,NA,
238,abandoned,developer,other,NA,
239,abandoned,user,Node.js/NPM,NA,
240,abandoned,developer,Node.js/NPM,NA,
241,abandoned,developer,Node.js/NPM,NA,
242,abandoned,developer,Node.js/NPM,NA,
243,abandoned,developer,Node.js/NPM,NA,
244,abandoned,developer,PHP/Packagist,NA,
245,abandoned,user,Go,NA,
246,abandoned,developer,Node.js/NPM,NA,
247,finished,developer,Perl/CPAN,Somewhat disagree,
248,abandoned,user,Atom (plugins),NA,
249,abandoned,user,Node.js/NPM,NA,
250,abandoned,developer,Python/PyPi,NA,
251,abandoned,developer,Node.js/NPM,NA,
252,abandoned,user,Node.js/NPM,NA,
253,abandoned,developer,Rust/Cargo,NA,
254,abandoned,user,NuGet,NA,
255,abandoned,developer,other,NA,
256,abandoned,developer,Node.js/NPM,NA,
257,abandoned,developer,Node.js/NPM,NA,
258,finished,developer,Perl/CPAN,Strongly disagree,
259,abandoned,developer,other,NA,
260,abandoned,developer,Ruby/Rubygems,NA,
261,abandoned,developer,Node.js/NPM,NA,
262,abandoned,user,Python/PyPi,NA,
263,abandoned,developer,Python/PyPi,NA,
264,abandoned,developer,Node.js/NPM,NA,
265,abandoned,user,Node.js/NPM,NA,
266,abandoned,developer,Go,NA,
267,abandoned,developer,other,NA,
268,abandoned,developer,other,NA,
269,abandoned,user,Maven,NA,
270,abandoned,developer,Node.js/NPM,NA,
271,finished,user,Haskell (Cabal/Hackage),NA,
272,finished,developer,Haskell (Cabal/Hackage),Strongly disagree,
273,finished,developer,Haskell (Cabal/Hackage),Somewhat agree,
274,abandoned,developer,Node.js/NPM,NA,
275,finished,developer,Haskell (Cabal/Hackage),Somewhat agree,
276,finished,developer,Haskell (Cabal/Hackage),Strongly disagree,
277,finished,user,Haskell (Cabal/Hackage),NA,
278,finished,developer,Go,Strongly disagree,
279,finished,developer,Python/PyPi,Somewhat disagree,
280,finished,developer,Perl/CPAN,Neither agree nor disagree,
281,finished,developer,Haskell (Cabal/Hackage),Somewhat disagree,
282,finished,developer,Haskell (Cabal/Hackage),Neither agree nor disagree,
283,finished,developer,Perl/CPAN,Strongly agree,
284,finished,developer,Python/PyPi,Strongly disagree,
285,finished,user,R/CRAN,NA,
286,finished,user,Haskell (Cabal/Hackage),NA,
287,finished,developer,Haskell (Cabal/Hackage),Somewhat disagree,
1432,finished,developer,Maven,Somewhat agree,Do: 11
289,abandoned,developer,Node.js/NPM,NA,
290,finished,user,Perl/CPAN,NA,
291,finished,developer,Haskell (Cabal/Hackage),Strongly disagree,
292,finished,developer,Haskell (Cabal/Hackage),Somewhat agree,
293,abandoned,developer,other,NA,
294,abandoned,developer,Rust/Cargo,NA,
295,abandoned,developer,other,NA,
296,finished,developer,other,Strongly disagree,
297,abandoned,user,Rust/Cargo,NA,
298,finished,developer,Python/PyPi,Strongly disagree,
299,abandoned,developer,Rust/Cargo,NA,
300,abandoned,developer,Rust/Cargo,NA,
301,abandoned,developer,other,NA,
302,abandoned,developer,Rust/Cargo,NA,
303,abandoned,developer,Rust/Cargo,Strongly disagree,
304,abandoned,developer,other,NA,
305,abandoned,developer,Rust/Cargo,NA,
306,abandoned,developer,Ruby/Rubygems,Somewhat disagree,
307,abandoned,developer,Perl/CPAN,NA,
308,abandoned,user,Rust/Cargo,NA,
309,abandoned,developer,Rust/Cargo,NA,
310,abandoned,user,Rust/Cargo,NA,
311,finished,user,Go,NA,
312,abandoned,user,Rust/Cargo,NA,
313,abandoned,developer,Rust/Cargo,NA,
314,abandoned,developer,Rust/Cargo,NA,
315,abandoned,developer,other,NA,
316,abandoned,developer,Rust/Cargo,NA,
317,abandoned,user,Rust/Cargo,NA,
318,abandoned,developer,other,NA,
319,abandoned,user,Rust/Cargo,NA,
320,abandoned,developer,Rust/Cargo,NA,
321,abandoned,user,Rust/Cargo,NA,
322,abandoned,developer,Ruby/Rubygems,NA,
323,finished,developer,Haskell (Cabal/Hackage),Neither agree nor disagree,
324,abandoned,developer,Rust/Cargo,NA,
325,abandoned,developer,Ruby/Rubygems,NA,
326,abandoned,developer,Rust/Cargo,Somewhat disagree,
327,abandoned,developer,Rust/Cargo,NA,
328,abandoned,developer,Rust/Cargo,NA,
329,abandoned,developer,other,NA,
330,abandoned,user,Rust/Cargo,NA,
331,abandoned,developer,Rust/Cargo,NA,
332,abandoned,developer,other,NA,
333,abandoned,user,Rust/Cargo,NA,
334,abandoned,user,Node.js/NPM,NA,
335,abandoned,developer,Rust/Cargo,NA,
336,abandoned,developer,Rust/Cargo,NA,
337,abandoned,developer,Node.js/NPM,NA,
338,abandoned,developer,other,NA,
339,abandoned,developer,other,NA,
340,abandoned,user,Rust/Cargo,NA,
341,abandoned,developer,Rust/Cargo,NA,
342,abandoned,developer,Rust/Cargo,NA,
343,abandoned,user,NuGet,NA,
344,abandoned,developer,Rust/Cargo,NA,
345,finished,developer,Python/PyPi,Strongly disagree,
346,abandoned,developer,other,NA,
347,abandoned,user,Maven,NA,
348,abandoned,developer,Rust/Cargo,NA,
349,abandoned,user,Rust/Cargo,NA,
350,finished,user,R/CRAN,NA,
351,abandoned,developer,other,NA,
352,abandoned,user,Python/PyPi,NA,
353,abandoned,developer,Rust/Cargo,NA,
354,abandoned,developer,Perl/CPAN,NA,
355,finished,user,Python/PyPi,NA,
356,abandoned,developer,Rust/Cargo,NA,
357,abandoned,developer,Rust/Cargo,NA,
358,abandoned,developer,Rust/Cargo,NA,
359,abandoned,developer,other,NA,
360,abandoned,developer,Rust/Cargo,NA,
361,abandoned,developer,Rust/Cargo,NA,
362,abandoned,developer,other,NA,
363,abandoned,developer,Rust/Cargo,NA,
364,abandoned,developer,Python/PyPi,NA,
365,abandoned,developer,Rust/Cargo,NA,
366,abandoned,developer,Rust/Cargo,NA,
367,abandoned,developer,other,NA,
368,abandoned,user,Rust/Cargo,NA,
369,abandoned,developer,other,NA,
370,abandoned,developer,other,NA,
371,abandoned,user,Rust/Cargo,NA,
372,abandoned,developer,Rust/Cargo,NA,
373,abandoned,developer,Rust/Cargo,NA,
374,abandoned,developer,Atom (plugins),NA,
375,finished,developer,Perl/CPAN,Somewhat disagree,
376,finished,developer,Perl/CPAN,Somewhat disagree,
377,abandoned,developer,other,NA,
378,abandoned,user,Rust/Cargo,NA,
379,abandoned,developer,other,NA,
380,abandoned,user,Rust/Cargo,NA,
381,abandoned,developer,Node.js/NPM,NA,
382,abandoned,user,Python/PyPi,NA,
383,abandoned,developer,Rust/Cargo,NA,
384,abandoned,user,Rust/Cargo,NA,
385,abandoned,developer,Node.js/NPM,NA,
386,finished,developer,Haskell (Cabal/Hackage),Somewhat agree,
387,abandoned,developer,Ruby/Rubygems,NA,
388,abandoned,developer,other,NA,
389,abandoned,developer,other,NA,
390,abandoned,developer,Rust/Cargo,NA,
391,abandoned,developer,Node.js/NPM,NA,
392,abandoned,developer,NuGet,NA,
393,abandoned,user,NuGet,NA,
394,abandoned,developer,Perl/CPAN,NA,
395,abandoned,developer,Perl/CPAN,NA,
396,abandoned,developer,Perl/CPAN,NA,
397,abandoned,developer,other,NA,
398,abandoned,developer,other,NA,
399,finished,user,Haskell (Cabal/Hackage),NA,
400,abandoned,developer,other,NA,
401,abandoned,developer,Perl/CPAN,NA,
402,abandoned,developer,Perl/CPAN,Somewhat disagree,
403,abandoned,user,NuGet,NA,
404,abandoned,developer,Perl/CPAN,NA,
405,abandoned,developer,Perl/CPAN,NA,
406,abandoned,user,Perl/CPAN,NA,
407,abandoned,developer,other,NA,
408,abandoned,developer,NuGet,NA,
409,abandoned,developer,other,NA,
410,abandoned,developer,Atom (plugins),NA,
411,finished,developer,Perl/CPAN,Somewhat disagree,
412,abandoned,developer,NuGet,NA,
413,abandoned,developer,Atom (plugins),NA,
414,finished,developer,Perl/CPAN,Strongly disagree,
415,abandoned,user,Perl/CPAN,NA,
416,abandoned,developer,NuGet,NA,
417,finished,user,Haskell (Cabal/Hackage),NA,
418,finished,developer,Haskell (Cabal/Hackage),Strongly disagree,
419,abandoned,developer,Rust/Cargo,NA,
420,abandoned,developer,NuGet,NA,
421,finished,developer,Python/PyPi,Neither agree nor disagree,
422,abandoned,developer,Maven,NA,
423,finished,developer,Haskell (Stack/Stackage),Strongly disagree,
424,abandoned,user,Go,NA,
425,finished,user,Haskell (Stack/Stackage),NA,
426,abandoned,developer,Go,NA,
427,abandoned,user,Go,NA,
428,abandoned,user,Go,NA,
429,abandoned,developer,CocoaPods,NA,
430,abandoned,developer,Go,NA,
431,abandoned,developer,Go,NA,
432,abandoned,developer,Go,NA,
433,abandoned,developer,Node.js/NPM,NA,
434,abandoned,user,Go,NA,
435,abandoned,developer,other,NA,
436,abandoned,developer,Go,NA,
437,abandoned,user,Python/PyPi,NA,
438,abandoned,developer,other,NA,
439,finished,developer,Lua/Luarocks,Somewhat disagree,
440,finished,developer,Lua/Luarocks,Somewhat agree,
441,finished,user,Lua/Luarocks,NA,
442,finished,developer,Ruby/Rubygems,Somewhat disagree,
443,finished,developer,Lua/Luarocks,Strongly disagree,
444,finished,user,Lua/Luarocks,NA,
445,finished,developer,Lua/Luarocks,Strongly disagree,
446,abandoned,user,Go,NA,
447,finished,developer,Lua/Luarocks,Strongly disagree,
448,abandoned,user,other,NA,
449,abandoned,developer,CocoaPods,NA,
450,finished,developer,Lua/Luarocks,Somewhat disagree,
451,abandoned,developer,other,NA,
452,abandoned,user,Go,NA,
453,abandoned,developer,Go,Strongly disagree,
454,abandoned,developer,Perl/CPAN,NA,
455,finished,developer,Lua/Luarocks,Somewhat disagree,
456,finished,developer,Haskell (Cabal/Hackage),Somewhat disagree,
457,abandoned,developer,other,NA,
458,abandoned,developer,Go,NA,
459,abandoned,developer,Perl/CPAN,NA,
460,abandoned,developer,CocoaPods,NA,
461,abandoned,developer,R/CRAN,NA,
462,finished,developer,Python/PyPi,Somewhat agree,
463,abandoned,developer,other,NA,
464,abandoned,developer,R/CRAN,NA,
465,finished,developer,R/CRAN,Neither agree nor disagree,
466,finished,user,R/CRAN,NA,
467,finished,user,R/CRAN,NA,
468,abandoned,developer,CocoaPods,NA,
469,finished,developer,other,Somewhat agree,
470,finished,user,R/CRAN,NA,
471,abandoned,developer,R/CRAN,NA,
472,abandoned,developer,other,NA,
473,finished,developer,R/CRAN,Neither agree nor disagree,
474,abandoned,developer,other,NA,
475,finished,user,R/CRAN,NA,
476,abandoned,developer,other,NA,
477,finished,developer,Ruby/Rubygems,Neither agree nor disagree,
478,finished,developer,Ruby/Rubygems,Neither agree nor disagree,
479,finished,user,"Erlang,Elixir/Hex",NA,
480,abandoned,developer,R/CRAN,NA,
481,abandoned,developer,Go,NA,
482,finished,user,Ruby/Rubygems,NA,
483,abandoned,developer,Go,NA,
484,abandoned,developer,R/CRAN,NA,
485,finished,developer,Ruby/Rubygems,Somewhat agree,
486,finished,user,R/CRAN,NA,
487,abandoned,user,Go,NA,
488,finished,developer,Ruby/Rubygems,Somewhat agree,
489,finished,user,"Erlang,Elixir/Hex",NA,
490,abandoned,user,Rust/Cargo,NA,
491,abandoned,developer,other,NA,
492,abandoned,developer,other,NA,
493,abandoned,user,Node.js/NPM,NA,
494,abandoned,user,Go,NA,
495,abandoned,developer,other,NA,
496,abandoned,user,CocoaPods,NA,
497,abandoned,developer,other,NA,
498,abandoned,developer,CocoaPods,NA,
499,abandoned,developer,Python/PyPi,NA,
500,finished,developer,Haskell (Cabal/Hackage),Somewhat disagree,
501,abandoned,user,CocoaPods,NA,
502,abandoned,user,R/CRAN,NA,
503,abandoned,user,Python/PyPi,NA,
504,finished,user,Maven,NA,
505,abandoned,user,R/CRAN,NA,
506,finished,developer,Lua/Luarocks,Somewhat agree,
507,abandoned,developer,Go,NA,
508,finished,developer,Ruby/Rubygems,Somewhat agree,
509,abandoned,developer,Go,NA,
510,abandoned,developer,other,NA,
511,abandoned,developer,Go,NA,
512,finished,developer,Ruby/Rubygems,Neither agree nor disagree,
513,abandoned,developer,other,NA,
514,finished,user,R/CRAN,NA,
515,abandoned,developer,other,NA,
516,abandoned,user,R/CRAN,NA,
517,abandoned,developer,Node.js/NPM,NA,
518,abandoned,developer,Rust/Cargo,NA,
519,abandoned,developer,R/CRAN,NA,
520,finished,developer,Ruby/Rubygems,Strongly agree,
521,abandoned,developer,Perl/CPAN,NA,
522,abandoned,developer,other,NA,
523,abandoned,developer,Go,Neither agree nor disagree,
524,finished,user,R/CRAN,NA,
525,abandoned,developer,Go,NA,
526,finished,developer,Python/PyPi,Strongly disagree,
527,finished,developer,R/CRAN,Strongly disagree,
528,finished,developer,R/CRAN,Strongly disagree,
529,abandoned,developer,Perl/CPAN,NA,
530,finished,user,Lua/Luarocks,NA,
531,abandoned,developer,Perl/CPAN,NA,
532,finished,user,Perl/CPAN,NA,
533,finished,developer,Ruby/Rubygems,Strongly disagree,
534,finished,user,Haskell (Cabal/Hackage),NA,
535,finished,user,Ruby/Rubygems,NA,
536,abandoned,developer,Perl/CPAN,NA,
537,abandoned,developer,other,NA,
538,finished,user,R/CRAN,NA,
539,abandoned,developer,Haskell (Cabal/Hackage),NA,
540,abandoned,developer,Haskell (Cabal/Hackage),NA,
541,abandoned,developer,Haskell (Cabal/Hackage),NA,
542,abandoned,user,Go,NA,
543,abandoned,developer,Go,NA,
544,abandoned,developer,Perl/CPAN,NA,
545,abandoned,developer,Haskell (Cabal/Hackage),NA,
546,abandoned,developer,Haskell (Cabal/Hackage),NA,
547,abandoned,developer,Haskell (Cabal/Hackage),NA,
548,abandoned,developer,other,NA,
549,abandoned,user,Python/PyPi,NA,
550,abandoned,developer,Node.js/NPM,NA,
551,abandoned,developer,Haskell (Cabal/Hackage),NA,
552,abandoned,developer,Python/PyPi,NA,
553,abandoned,developer,other,NA,
554,abandoned,user,Go,NA,
555,abandoned,developer,Python/PyPi,NA,
556,finished,developer,Lua/Luarocks,Somewhat disagree,
557,abandoned,user,Python/PyPi,NA,
558,abandoned,developer,Python/PyPi,NA,
559,abandoned,developer,Go,NA,
560,abandoned,developer,other,NA,
561,abandoned,developer,Haskell (Cabal/Hackage),NA,
562,abandoned,developer,Python/PyPi,NA,
563,abandoned,user,Python/PyPi,NA,
564,abandoned,developer,other,NA,
565,abandoned,developer,other,NA,
566,abandoned,developer,Python/PyPi,NA,
567,finished,user,Haskell (Cabal/Hackage),NA,
568,abandoned,developer,Python/PyPi,NA,
569,abandoned,developer,Python/PyPi,NA,
570,abandoned,developer,Go,NA,
571,abandoned,user,Rust/Cargo,NA,
572,abandoned,developer,Python/PyPi,NA,
573,abandoned,developer,other,NA,
574,abandoned,developer,other,NA,
575,finished,developer,Haskell (Cabal/Hackage),Somewhat agree,
576,abandoned,developer,Haskell (Cabal/Hackage),NA,
577,abandoned,developer,Python/PyPi,NA,
578,abandoned,developer,Haskell (Stack/Stackage),NA,
579,abandoned,user,Perl/CPAN,NA,
580,finished,developer,Haskell (Stack/Stackage),Somewhat disagree,
581,finished,developer,R/CRAN,Neither agree nor disagree,
582,finished,user,other,NA,
583,finished,user,Haskell (Stack/Stackage),NA,
584,finished,developer,R/CRAN,Strongly disagree,
585,abandoned,developer,other,NA,
586,finished,developer,R/CRAN,Somewhat agree,
587,finished,developer,R/CRAN,Strongly disagree,
588,abandoned,developer,Haskell (Cabal/Hackage),NA,
589,abandoned,developer,Haskell (Cabal/Hackage),Skipped,
590,abandoned,developer,Haskell (Stack/Stackage),NA,
591,abandoned,developer,other,NA,
592,abandoned,developer,Haskell (Stack/Stackage),NA,
593,finished,developer,Ruby/Rubygems,Somewhat agree,
594,abandoned,developer,Haskell (Stack/Stackage),Somewhat disagree,
595,abandoned,developer,Perl/CPAN,NA,
596,finished,developer,other,Neither agree nor disagree,
597,abandoned,user,Haskell (Cabal/Hackage),NA,
598,finished,developer,Haskell (Stack/Stackage),Strongly disagree,
599,finished,developer,R/CRAN,Strongly disagree,
600,finished,user,Node.js/NPM,NA,
601,abandoned,developer,Haskell (Cabal/Hackage),NA,
602,abandoned,developer,Python/PyPi,NA,
603,abandoned,developer,Rust/Cargo,NA,
604,abandoned,developer,Maven,NA,
605,abandoned,developer,Ruby/Rubygems,NA,
606,abandoned,developer,other,NA,
607,abandoned,developer,other,NA,
608,abandoned,developer,Haskell (Cabal/Hackage),NA,
609,abandoned,developer,R/CRAN,NA,
610,abandoned,developer,R/CRAN,NA,
611,abandoned,developer,other,NA,
612,abandoned,user,R/CRAN,NA,
613,abandoned,user,R/CRAN,NA,
614,abandoned,user,Lua/Luarocks,NA,
615,abandoned,developer,Python/PyPi,NA,
616,abandoned,user,R/CRAN,NA,
617,abandoned,developer,other,NA,
618,abandoned,developer,R/CRAN,NA,
619,abandoned,developer,Python/PyPi,NA,
620,abandoned,user,R/CRAN,NA,
621,abandoned,developer,other,NA,
622,abandoned,user,R/CRAN,NA,
